iter	Logloss
156	0.4939893341
157	0.493139267
158	0.4919849701
159	0.4908626353
160	0.4906636302
161	0.4905774078
162	0.4897502848
163	0.4896661987
164	0.488456014
165	0.4883815664
166	0.4878785655
167	0.4861773122
168	0.4843986308
169	0.4828531494
170	0.4813312683
171	0.4803136597
172	0.4792862193
173	0.4785448608
174	0.4783414714
175	0.4774673665
176	0.4763635305
177	0.4753179728
178	0.4750767415
179	0.4746491292
180	0.4740152028
181	0.4737565104
182	0.4736475169
183	0.4729313558
184	0.4726628774
185	0.4722662557
186	0.4720858866
187	0.471947876
188	0.4714462738
189	0.4713011373
190	0.4711908315
191	0.4697381439
192	0.4691081848
193	0.4688900909
194	0.468541921
195	0.4681670125
196	0.4668689168
197	0.4667745209
198	0.4662422384
199	0.4656947021
200	0.4651902568
201	0.4644862162
202	0.4643939463
203	0.4639979045
204	0.4634674174
205	0.4632706757
206	0.4631761525
207	0.462331604
208	0.4621642812
209	0.4619950205
210	0.4617060903
211	0.4613255361
212	0.4612206675
213	0.46108697
214	0.460992513
215	0.4608654073
216	0.4605582326
217	0.4596379395
218	0.4595543467
219	0.4590415904
220	0.4589473877
221	0.4587991587
222	0.4587015635
223	0.4586119486
224	0.4583517609
225	0.458236084
226	0.4578778025
227	0.4571250966
228	0.4569124705
229	0.4568139903
230	0.4567160238
231	0.4565839844
232	0.4564945526
233	0.4561685181
234	0.4560767924
235	0.4557245229
236	0.4556301473
237	0.4554412791
238	0.4552854818
239	0.4552100627
240	0.4550639191
241	0.4549067841
242	0.454825943
243	0.4546808624
244	0.4546140086
245	0.4544772288
246	0.4542048289
247	0.4541294556
248	0.453969106
249	0.4538398743
250	0.4534542999
251	0.4533874156
252	0.4527459361
253	0.4525372569
254	0.4523551839
255	0.4517442576
256	0.4516326955
257	0.4513323212
258	0.4512486674
259	0.4510504303
260	0.4509664612
261	0.4508000641
262	0.4505992279
263	0.4505266469
264	0.4504508362
265	0.4503637187
266	0.4502098083
267	0.4498445994
268	0.4497694499
269	0.4495341136
270	0.4494603017
271	0.4494083761
272	0.4491718445
273	0.4479375509
274	0.4478542735
275	0.4476737111
276	0.4475248108
277	0.4474423472
278	0.4473673452
279	0.4471631724
280	0.4467607676
281	0.4460479533
282	0.4459297587
283	0.4458322906
284	0.4456950328
285	0.4456295878
286	0.44543573
287	0.4448004557
288	0.4445551351
289	0.4444835612
290	0.4443666484
291	0.4437151184
292	0.4436417796
293	0.4435733439
294	0.4425699768
295	0.4423376109
296	0.4422738291
297	0.4420505117
298	0.4418746236
299	0.4418069967
300	0.4416583964
301	0.4415209351
302	0.4414476267
303	0.4412294617
304	0.4411678823
305	0.4411017253
306	0.4409978739
307	0.4409363658
308	0.4408511861
309	0.4406049093
310	0.4405351512
311	0.4404178975
312	0.4403592377
313	0.4399799652
314	0.4398296204
315	0.4397524719
316	0.4393570099
317	0.4392905884
318	0.4391657562
319	0.4387288971
320	0.43866834
321	0.4383933614
322	0.4381542308
323	0.438087677
324	0.438024114
325	0.4379661764
326	0.4379037476
327	0.4378135834
328	0.4377458547
329	0.4376824799
330	0.4376123861
331	0.4375411275
332	0.4374707743
333	0.4374071706
334	0.4373098602
335	0.4366155599
336	0.4365606384
337	0.4361994781
338	0.4361448568
339	0.4360164286
340	0.4358871358
341	0.4358119202
342	0.4356987254
343	0.4356397298
344	0.4348986053
345	0.4348250682
346	0.4347375285
347	0.4344082998
348	0.4338283234
349	0.4336337941
350	0.4330695597
351	0.4327793325
352	0.4326958262
353	0.4326066488
354	0.4325304769
355	0.432468455
356	0.4318769887
357	0.4313576508
358	0.4311477712
359	0.4307666931
360	0.4306822459
361	0.4306132609
362	0.4305235494
363	0.4304491425
364	0.4303812561
365	0.430247935
366	0.4300172323
367	0.4299410604
368	0.4298718465
369	0.4295126851
370	0.429450587
371	0.429025533
372	0.4289557749
373	0.4289048462
374	0.4284739787
375	0.4284050802
376	0.4281420186
377	0.4280845693
378	0.4276996714
379	0.4276606293
380	0.4275924581
381	0.4275358938
382	0.4273955027
383	0.4273297679
384	0.4272522837
385	0.4270171967
386	0.4268831126
387	0.4267674561
388	0.4267186025
389	0.4266115214
390	0.4265499013
391	0.4264262899
392	0.4263723145
393	0.4263068797
394	0.42625118
395	0.4261934509
396	0.4261408691
397	0.4260636139
398	0.4260008647
399	0.4258472443
400	0.425781779
401	0.4256857402
402	0.4256231028
403	0.4255725861
404	0.4253980204
405	0.4253458913
406	0.4252948863
407	0.425246816
408	0.4251875305
409	0.4249980774
410	0.4249400431
411	0.4248718363
412	0.4247156881
413	0.4244610545
414	0.4244008179
415	0.4243232168
416	0.4242667643
417	0.4241972097
418	0.4240792491
419	0.4238906504
420	0.4238237152
421	0.4234862315
422	0.4234315948
423	0.4233654938
424	0.4233157654
425	0.423260671
426	0.4232011312
427	0.4231564026
428	0.4228006439
429	0.4227285207
430	0.4226720174
431	0.4226144155
432	0.4225232544
433	0.4224586283
434	0.4223958639
435	0.4223453318
436	0.4222942963
437	0.4222279968
438	0.4221751455
439	0.4220252482
440	0.4219659119
441	0.4218957113
442	0.4218365529
443	0.4217801056
444	0.4215054372
445	0.421354126
446	0.4212979329
447	0.4212513631
448	0.4211948649
449	0.4211307526
450	0.4210355886
451	0.4209855652
452	0.4209288483
453	0.4208183645
454	0.4206503855
455	0.4206000722
456	0.4204731394
457	0.4204119822
458	0.4202921041
459	0.420238973
460	0.4201970774
461	0.4200494588
462	0.4199921468
463	0.4199146576
464	0.4198565216
465	0.419734258
466	0.4196917928
467	0.4196051534
468	0.4195137278
469	0.4194643504
470	0.4194128571
471	0.4193547516
472	0.419294042
473	0.4192242533
474	0.4191757711
475	0.4191196238
476	0.4190730286
477	0.4189613342
478	0.4189053955
479	0.4188640391
480	0.4187745768
481	0.4187215169
482	0.4186786041
483	0.4184813944
484	0.4184237671
485	0.4183709106
486	0.4183119609
487	0.4182516022
488	0.4180592651
489	0.4180101674
490	0.4179608917
491	0.4179252218
492	0.4177659607
493	0.4177112528
494	0.4176703491
495	0.417629069
496	0.4175725098
497	0.4175403188
498	0.4174929962
499	0.417148173
500	0.4170993958
501	0.4170548553
502	0.4170102641
503	0.416858017
504	0.4167215068
505	0.4166645101
506	0.4166084137
507	0.4165447133
508	0.4164866791
509	0.4161731262
510	0.4161241811
511	0.4158000641
512	0.4157476095
513	0.4154304199
514	0.4152794952
515	0.415220932
516	0.4151333872
517	0.4150754954
518	0.4150195974
519	0.4149438171
520	0.4148136393
521	0.4147155457
522	0.4146595001
523	0.4146008199
524	0.4142358551
525	0.4141773275
526	0.4141034444
527	0.4139286092
528	0.4138629354
529	0.4138195699
530	0.4137634125
531	0.4137011973
532	0.4136463826
533	0.4135911611
534	0.4135426432
535	0.4133528595
536	0.4133214518
537	0.4132674306
538	0.4132309926
539	0.4131862895
540	0.4129632416
541	0.4127235769
542	0.4126662242
543	0.4122764994
544	0.4122294718
545	0.4119894511
546	0.4119470876
547	0.4118495483
548	0.411807078
549	0.4117513784
550	0.4116647746
551	0.4116083934
552	0.4115518494
553	0.4114890493
554	0.4114482524
555	0.4113926036
556	0.4112187195
557	0.4111683095
558	0.4111184387
559	0.4110608521
560	0.4109867401
561	0.4108427582
562	0.4107973429
563	0.4106940155
564	0.4106358693
565	0.410592509
566	0.4105411987
567	0.4104777069
568	0.4104340566
569	0.410382609
570	0.4103105164
571	0.4102605184
572	0.4102088928
573	0.4101584829
574	0.4101108551
575	0.4099830933
576	0.4099468842
577	0.409903834
578	0.409855835
579	0.4097845408
580	0.4097324778
581	0.4096883291
582	0.4096426442
583	0.4096051839
584	0.4095521495
585	0.4095136312
586	0.4094579722
587	0.4092088826
588	0.4091425018
589	0.4090965017
590	0.4090468394
591	0.4090108287
592	0.4089531657
593	0.4089183044
594	0.4088743032
595	0.4086927999
596	0.4086349792
597	0.4085908203
598	0.4085548096
599	0.4084143778
600	0.4083599447
601	0.4083162537
602	0.4082718964
603	0.4082216441
604	0.4081428223
605	0.4080370636
606	0.4079908651
607	0.4079415181
608	0.4079126383
609	0.4078712158
610	0.4078161062
611	0.4077594961
612	0.4077150116
613	0.4076643829
614	0.4076086833
615	0.4075700429
616	0.4075081482
617	0.4074699097
618	0.4074140828
619	0.4073586782
620	0.4073143361
621	0.4072594096
622	0.4071967672
623	0.4069710134
624	0.4069307709
625	0.4068872172
626	0.4068418477
627	0.4067967377
628	0.4067350006
629	0.4066916097
630	0.4065417633
631	0.4065001628
632	0.4064705709
633	0.4061286214
634	0.4060699565
635	0.4060347799
636	0.4059894867
637	0.4059461365
638	0.405900589
639	0.4058663635
640	0.4058199209
641	0.4057455851
642	0.4057022756
643	0.4054859619
644	0.4054285431
645	0.4053870646
646	0.4053338928
647	0.4052374776
648	0.4051892446
649	0.4051306051
650	0.4049995575
651	0.4049545237
652	0.4048894196
653	0.4048364817
654	0.4047894948
655	0.4046883291
656	0.4046309713
657	0.4045948588
658	0.4045588938
659	0.4043963826
660	0.4042859141
661	0.4042333221
662	0.4041814982
663	0.4041334737
664	0.4041031647
665	0.404052241
666	0.4040035706
667	0.4039013774
668	0.4038657888
669	0.4038068949
670	0.4037469737
671	0.4036908366
672	0.40363797
673	0.403594696
674	0.4035454152
675	0.4035082397
676	0.403462972
677	0.4034290873
678	0.4033707733
679	0.4033198547
680	0.403277064
681	0.4032329763
682	0.4031867116
683	0.4031367289
684	0.4030656891
685	0.402882604
686	0.4028459269
687	0.40279334
688	0.4027491404
689	0.4027053274
690	0.4026608378
691	0.4026220652
692	0.4024022115
693	0.4022970734
694	0.4022228292
695	0.4021456807
696	0.4020085042
697	0.401961853
698	0.401920344
699	0.4018778381
700	0.4017672373
701	0.4017201945
702	0.4016825612
703	0.4016280619
704	0.4015628764
705	0.4015149892
706	0.4014534556
707	0.4014040019
708	0.4012315928
709	0.4011857096
710	0.400999354
711	0.4009608765
712	0.4009239095
713	0.4008877462
714	0.4007605184
715	0.4007150472
716	0.400670105
717	0.4006206106
718	0.4005734049
719	0.4005251923
720	0.400480367
721	0.4004415538
722	0.4003659312
723	0.4003259583
724	0.400281545
725	0.400156428
726	0.4000557912
727	0.4000012156
728	0.399912028
729	0.3997963918
730	0.3997483724
731	0.399697759
732	0.399587972
733	0.3995445455
734	0.3995023702
735	0.3994483999
736	0.3993961792
737	0.3993440755
738	0.3993046824
739	0.3992573344
740	0.3992218424
741	0.3991819051
742	0.3991352437
743	0.3990306142
744	0.3989579976
745	0.3989201202
746	0.3988769226
747	0.3987951508
748	0.3987608287
749	0.3986779887
750	0.3986330261
751	0.3985662944
752	0.3983637187
753	0.3983191427
754	0.398216746
755	0.3981679179
756	0.3981069132
757	0.3980574443
758	0.3980097097
759	0.3979604034
760	0.3979159292
761	0.3978612366
762	0.3978052216
763	0.3977046102
764	0.3976378682
765	0.3975997416
766	0.3975456136
767	0.3974259745
768	0.3973925934
769	0.3973504588
770	0.3972980601
771	0.3972571309
772	0.3971984762
773	0.3971568451
774	0.3971099599
775	0.3969521281
776	0.3969098612
777	0.3968690186
778	0.3968119609
779	0.3967644857
780	0.3967287242
781	0.3966940816
782	0.3966249542
783	0.3965796916
784	0.3965086212
785	0.396461319
786	0.3964129333
787	0.3963672333
788	0.3963240662
789	0.3962492269
790	0.3962002157
791	0.3961525167
792	0.3961078542
793	0.3960636444
794	0.3960153351
795	0.3959642487
796	0.3959099121
797	0.3958748627
798	0.3958249308
799	0.3957861633
800	0.3957517955
801	0.3956935425
802	0.3956410878
803	0.3955969849
804	0.395554306
805	0.3955036875
806	0.3954237773
807	0.3953768005
808	0.3953420359
809	0.3953046112
810	0.3952598572
811	0.3952236582
812	0.3951936289
813	0.3951495667
814	0.395101827
815	0.3950631307
816	0.3950311788
817	0.3949819082
818	0.3949354858
819	0.3948979492
820	0.3948560384
821	0.3948179474
822	0.3947787933
823	0.3947475891
824	0.3947062683
825	0.394646759
826	0.3946111348
827	0.3945695852
828	0.3945415192
829	0.3944914653
830	0.3944553731
831	0.3944101156
832	0.3943652293
833	0.3943155212
834	0.3942607371
835	0.3942242686
836	0.3941778514
837	0.3941431986
838	0.3940435384
839	0.394005778
840	0.3939564158
841	0.3938907013
842	0.3938114421
843	0.3937544759
844	0.3936601664
845	0.3935005697
846	0.3934543508
847	0.39340743
848	0.393374644
849	0.3933308716
850	0.393293218
851	0.3932441152
852	0.3930825704
853	0.3930263977
854	0.3929764099
855	0.3929354299
856	0.3929043833
857	0.392868103
858	0.392818573
859	0.3927725118
860	0.3927291667
861	0.3926845398
862	0.3926484782
863	0.3925999807
864	0.392562617
865	0.3924621582
866	0.3924140523
867	0.3923700765
868	0.3923266652
869	0.3922863464
870	0.3922440643
871	0.3921946411
872	0.3921461538
873	0.3921030782
874	0.392060084
875	0.392012675
876	0.3919726664
877	0.3919474131
878	0.3918971456
879	0.3918434601
880	0.3918021393
881	0.3917572021
882	0.3917233226
883	0.3915343526
884	0.3914925486
885	0.391454188
886	0.3914195251
887	0.391382665
888	0.39134611
889	0.3913159993
890	0.3912747752
891	0.3912399038
892	0.3911981608
893	0.3911478577
894	0.3911083272
895	0.3910719859
896	0.3910297089
897	0.3909937846
898	0.3909512838
899	0.390908432
900	0.3908703461
901	0.3907456462
902	0.390701416
903	0.3906545766
904	0.3906095734
905	0.3905624847
906	0.3905232137
907	0.3904794108
908	0.3904473114
909	0.3904067332
910	0.3903646139
911	0.3903108571
912	0.390267512
913	0.3902193298
914	0.3901669566
915	0.3901242523
916	0.3900864817
917	0.3900398865
918	0.389992691
919	0.3899536743
920	0.3899004059
921	0.3898543447
922	0.3898055979
923	0.3897700755
924	0.3897297211
925	0.3896993866
926	0.389630483
927	0.3895903473
928	0.3895602926
929	0.3894854991
930	0.3894562531
931	0.3894144135
932	0.3893812052
933	0.3893388163
934	0.3893099823
935	0.3892683411
936	0.3891853689
937	0.3891464132
938	0.3890960795
939	0.3890521088
940	0.3890132497
941	0.388974767
942	0.3889354909
943	0.3888987478
944	0.3887479706
945	0.388668335
946	0.3886343486
947	0.3885982056
948	0.3885607605
949	0.3885151774
950	0.3884758403
951	0.3884297587
952	0.3883827566
953	0.3883347219
954	0.3882938487
955	0.3882024536
956	0.3881578318
957	0.3881199799
958	0.388038976
959	0.3879767456
960	0.3879270376
961	0.3878816172
962	0.3878346659
963	0.3878087769
964	0.3877712555
965	0.3877299143
966	0.3876999308
967	0.3876647898
968	0.3876191661
969	0.3875866394
970	0.3875351257
971	0.3874887034
972	0.387461736
973	0.3874277547
974	0.3873984019
975	0.387358195
976	0.3873004761
977	0.3871667582
978	0.3871281179
979	0.387086141
980	0.3870483653
981	0.3870149943
982	0.3869422201
983	0.3868971252
984	0.3868469391
985	0.3868097178
986	0.3867718252
987	0.3867304179
988	0.3866868439
989	0.386479894
990	0.386397939
991	0.3863528188
992	0.3863135579
993	0.3862659607
994	0.3862284698
995	0.3861837819
996	0.3860988922
997	0.3860506948
998	0.3860007477
999	0.3859511871
