iter	Passed	Remaining
416	2544	3558
417	2550	3551
418	2556	3544
419	2561	3537
420	2567	3530
421	2572	3523
422	2578	3516
423	2583	3509
424	2589	3502
425	2594	3495
426	2599	3488
427	2606	3483
428	2613	3478
429	2619	3472
430	2625	3465
431	2630	3459
432	2636	3452
433	2641	3445
434	2647	3438
435	2652	3431
436	2658	3424
437	2663	3417
438	2669	3411
439	2674	3404
440	2680	3397
441	2685	3390
442	2691	3383
443	2696	3376
444	2701	3369
445	2707	3362
446	2712	3356
447	2717	3348
448	2723	3341
449	2729	3335
450	2734	3329
451	2740	3322
452	2746	3316
453	2751	3309
454	2757	3302
455	2762	3295
456	2767	3288
457	2773	3281
458	2778	3275
459	2784	3268
460	2789	3261
461	2795	3254
462	2800	3248
463	2807	3243
464	2814	3238
465	2821	3233
466	2830	3230
467	2841	3229
468	2850	3227
469	2858	3223
470	2866	3219
471	2873	3214
472	2879	3207
473	2884	3200
474	2889	3194
475	2895	3187
476	2900	3180
477	2906	3173
478	2911	3166
479	2917	3160
480	2922	3153
481	2927	3146
482	2933	3139
483	2939	3133
484	2944	3126
485	2950	3120
486	2955	3113
487	2961	3106
488	2966	3100
489	2972	3093
490	2977	3086
491	2982	3079
492	2988	3073
493	2993	3066
494	2999	3059
495	3005	3053
496	3011	3048
497	3018	3042
498	3024	3036
499	3030	3030
500	3035	3023
501	3041	3017
502	3047	3010
503	3052	3004
504	3058	2997
505	3063	2990
506	3069	2984
507	3074	2977
508	3079	2970
509	3085	2964
510	3091	2958
511	3096	2951
512	3102	2945
513	3107	2938
514	3113	2932
515	3118	2925
516	3124	2919
517	3130	2912
518	3136	2906
519	3141	2900
520	3147	2893
521	3152	2886
522	3157	2880
523	3163	2873
524	3169	2867
525	3174	2860
526	3179	2854
527	3185	2847
528	3191	2841
529	3196	2834
530	3202	2828
531	3209	2823
532	3216	2817
533	3222	2812
534	3227	2805
535	3233	2799
536	3239	2792
537	3244	2786
538	3249	2779
539	3254	2772
540	3260	2766
541	3266	2760
542	3272	2753
543	3277	2747
544	3282	2740
545	3288	2734
546	3293	2727
547	3299	2721
548	3304	2714
549	3309	2708
550	3315	2701
551	3320	2695
552	3326	2688
553	3331	2682
554	3337	2675
555	3342	2669
556	3348	2662
557	3353	2656
558	3359	2649
559	3364	2643
560	3369	2637
561	3375	2630
562	3380	2624
563	3385	2617
564	3391	2610
565	3396	2604
566	3403	2598
567	3409	2593
568	3416	2587
569	3422	2581
570	3428	2575
571	3433	2569
572	3439	2563
573	3444	2556
574	3450	2550
575	3456	2544
576	3461	2537
577	3466	2531
578	3472	2524
579	3477	2518
580	3483	2511
581	3488	2505
582	3493	2499
583	3499	2492
584	3504	2486
585	3510	2479
586	3515	2473
587	3521	2467
588	3526	2460
589	3532	2454
590	3537	2448
591	3542	2441
592	3548	2435
593	3553	2429
594	3559	2422
595	3564	2416
596	3570	2410
597	3576	2404
598	3581	2397
599	3586	2391
600	3592	2384
601	3597	2378
602	3604	2373
603	3611	2367
604	3617	2361
605	3623	2356
606	3629	2349
607	3634	2343
608	3639	2336
609	3645	2330
610	3650	2323
611	3655	2317
612	3660	2311
613	3666	2304
614	3671	2298
615	3677	2292
616	3682	2286
617	3688	2279
618	3693	2273
619	3699	2267
620	3705	2261
621	3711	2255
622	3717	2249
623	3723	2243
624	3728	2237
625	3734	2230
626	3739	2224
627	3745	2218
628	3750	2212
629	3756	2205
630	3761	2199
631	3767	2193
632	3772	2187
633	3778	2181
634	3783	2174
635	3789	2168
636	3794	2162
637	3799	2155
638	3806	2150
639	3812	2144
640	3819	2139
641	3825	2133
642	3830	2126
643	3836	2120
644	3842	2114
645	3847	2108
646	3853	2102
647	3858	2095
648	3863	2089
649	3869	2083
650	3874	2077
651	3880	2071
652	3885	2064
653	3891	2058
654	3896	2052
655	3902	2046
656	3907	2039
657	3912	2033
658	3918	2027
659	3924	2021
660	3929	2015
661	3934	2008
662	3940	2002
663	3945	1996
664	3951	1990
665	3956	1984
666	3961	1977
667	3967	1971
668	3972	1965
669	3977	1959
670	3983	1953
671	3988	1946
672	3994	1940
673	3999	1934
674	4006	1928
675	4012	1923
676	4019	1917
677	4025	1911
678	4031	1905
679	4036	1899
680	4042	1893
681	4047	1887
682	4053	1881
683	4058	1875
684	4064	1868
685	4069	1862
686	4075	1856
687	4080	1850
688	4086	1844
689	4091	1838
690	4097	1832
691	4102	1825
692	4108	1819
693	4114	1814
694	4120	1808
695	4126	1802
696	4132	1796
697	4137	1790
698	4143	1784
699	4148	1778
700	4154	1771
701	4159	1765
702	4165	1759
703	4170	1753
704	4175	1747
705	4181	1741
706	4187	1735
707	4193	1729
708	4199	1723
709	4206	1718
710	4213	1712
711	4220	1707
712	4227	1701
713	4232	1695
714	4238	1689
715	4244	1683
716	4249	1677
717	4255	1671
718	4260	1665
719	4266	1659
720	4271	1653
721	4277	1646
722	4282	1640
723	4288	1634
724	4293	1628
725	4298	1622
726	4304	1616
727	4310	1610
728	4315	1604
729	4321	1598
730	4326	1592
731	4332	1586
732	4337	1580
733	4343	1573
734	4348	1567
735	4354	1561
736	4359	1555
737	4364	1549
738	4370	1543
739	4375	1537
740	4381	1531
741	4386	1525
742	4391	1519
743	4397	1513
744	4402	1507
745	4409	1501
746	4415	1495
747	4422	1489
748	4428	1483
749	4433	1477
750	4439	1471
751	4444	1465
752	4450	1459
753	4455	1453
754	4461	1447
755	4467	1441
756	4472	1435
757	4478	1429
758	4483	1423
759	4488	1417
760	4494	1411
761	4500	1405
762	4505	1399
763	4511	1393
764	4516	1387
765	4522	1381
766	4527	1375
767	4533	1369
768	4538	1363
769	4543	1357
770	4549	1351
771	4554	1345
772	4560	1339
773	4565	1333
774	4571	1327
775	4576	1321
776	4582	1315
777	4587	1309
778	4592	1302
779	4598	1296
780	4605	1291
781	4611	1285
782	4617	1279
783	4623	1273
784	4629	1267
785	4634	1261
786	4640	1255
787	4646	1249
788	4651	1243
789	4657	1237
790	4662	1231
791	4667	1225
792	4673	1219
793	4679	1214
794	4684	1207
795	4690	1202
796	4695	1196
797	4701	1190
798	4706	1184
799	4712	1178
800	4717	1172
801	4723	1166
802	4728	1159
803	4733	1153
804	4739	1147
805	4744	1142
806	4749	1135
807	4755	1129
808	4760	1123
809	4765	1117
810	4771	1111
811	4776	1105
812	4781	1099
813	4787	1093
814	4792	1087
815	4798	1082
816	4805	1076
817	4812	1070
818	4818	1064
819	4825	1059
820	4830	1053
821	4836	1047
822	4841	1041
823	4846	1035
824	4852	1029
825	4857	1023
826	4863	1017
827	4868	1011
828	4873	1005
829	4879	999
830	4884	993
831	4890	987
832	4895	981
833	4901	975
834	4906	969
835	4912	963
836	4917	957
837	4922	951
838	4928	945
839	4933	939
840	4939	933
841	4944	927
842	4950	921
843	4955	915
844	4961	910
845	4967	904
846	4972	898
847	4978	892
848	4983	886
849	4989	880
850	4994	874
851	4999	868
852	5006	862
853	5013	857
854	5020	851
855	5026	845
856	5032	839
857	5037	833
858	5043	827
859	5048	821
860	5054	815
861	5059	809
862	5064	804
863	5070	798
864	5075	792
865	5081	786
866	5087	780
867	5093	774
868	5098	768
869	5103	762
870	5109	756
871	5114	750
872	5120	744
873	5126	738
874	5131	733
875	5137	727
876	5142	721
877	5147	715
878	5152	709
